Dato;Time;Price
01.01.2016;1;23.86
01.01.2016;2;22.39
01.01.2016;3;20.59
01.01.2016;4;16.81
01.01.2016;5;17.41
01.01.2016;6;17.02
01.01.2016;7;15.86
01.01.2016;8;18.16
01.01.2016;9;17.73
01.01.2016;10;19.77
01.01.2016;11;23.75
01.01.2016;12;26.03
01.01.2016;13;27.06
01.01.2016;14;26.59
01.01.2016;15;25.00
01.01.2016;16;24.43
01.01.2016;17;28.87
01.01.2016;18;37.44
01.01.2016;19;37.41
01.01.2016;20;35.34
01.01.2016;21;33.07
01.01.2016;22;29.52
01.01.2016;23;30.10
01.01.2016;24;24.57
02.01.2016;1;22.20
02.01.2016;2;16.57
02.01.2016;3;15.35
02.01.2016;4;12.77
02.01.2016;5;11.27
02.01.2016;6;11.91
02.01.2016;7;12.62
02.01.2016;8;13.83
02.01.2016;9;16.12
02.01.2016;10;18.12
02.01.2016;11;19.59
02.01.2016;12;21.07
02.01.2016;13;22.54
02.01.2016;14;19.79
02.01.2016;15;16.90
02.01.2016;16;16.97
02.01.2016;17;19.25
02.01.2016;18;28.01
02.01.2016;19;28.36
02.01.2016;20;26.56
02.01.2016;21;17.38
02.01.2016;22;15.83
02.01.2016;23;16.97
02.01.2016;24;15.31
03.01.2016;1;6.99
03.01.2016;2;-0.01
03.01.2016;3;0.23
03.01.2016;4;4.51
03.01.2016;5;4.12
03.01.2016;6;6.76
03.01.2016;7;0.75
03.01.2016;8;4.27
03.01.2016;9;9.11
03.01.2016;10;15.92
03.01.2016;11;17.06
03.01.2016;12;19.28
03.01.2016;13;20.25
03.01.2016;14;17.66
03.01.2016;15;18.49
03.01.2016;16;16.51
03.01.2016;17;18.76
03.01.2016;18;22.21
03.01.2016;19;26.76
03.01.2016;20;27.08
03.01.2016;21;25.33
03.01.2016;22;22.11
03.01.2016;23;20.91
03.01.2016;24;14.43
04.01.2016;1;13.78
04.01.2016;2;12.77
04.01.2016;3;10.56
04.01.2016;4;3.87
04.01.2016;5;3.20
04.01.2016;6;8.67
04.01.2016;7;18.01
04.01.2016;8;28.52
04.01.2016;9;34.74
04.01.2016;10;33.46
04.01.2016;11;33.24
04.01.2016;12;35.09
04.01.2016;13;35.00
04.01.2016;14;35.00
04.01.2016;15;34.94
04.01.2016;16;34.92
04.01.2016;17;38.00
04.01.2016;18;41.21
04.01.2016;19;42.95
04.01.2016;20;41.96
04.01.2016;21;34.94
04.01.2016;22;30.66
04.01.2016;23;30.00
04.01.2016;24;23.90
05.01.2016;1;25.03
05.01.2016;2;24.42
05.01.2016;3;22.34
05.01.2016;4;21.50
05.01.2016;5;20.00
05.01.2016;6;23.53
05.01.2016;7;28.96
05.01.2016;8;38.32
05.01.2016;9;41.45
05.01.2016;10;40.72
05.01.2016;11;40.66
05.01.2016;12;40.33
05.01.2016;13;38.25
05.01.2016;14;36.98
05.01.2016;15;34.91
05.01.2016;16;33.50
05.01.2016;17;35.10
05.01.2016;18;42.44
05.01.2016;19;42.94
05.01.2016;20;41.74
05.01.2016;21;36.47
05.01.2016;22;33.01
05.01.2016;23;31.75
05.01.2016;24;26.99
06.01.2016;1;26.62
06.01.2016;2;25.58
06.01.2016;3;24.59
06.01.2016;4;22.50
06.01.2016;5;23.16
06.01.2016;6;24.99
06.01.2016;7;26.62
06.01.2016;8;28.03
06.01.2016;9;29.34
06.01.2016;10;32.94
06.01.2016;11;37.71
06.01.2016;12;40.08
06.01.2016;13;40.73
06.01.2016;14;38.26
06.01.2016;15;35.44
06.01.2016;16;36.92
06.01.2016;17;41.28
06.01.2016;18;44.95
06.01.2016;19;46.90
06.01.2016;20;43.95
06.01.2016;21;39.94
06.01.2016;22;32.40
06.01.2016;23;33.51
06.01.2016;24;30.11
07.01.2016;1;26.41
07.01.2016;2;26.05
07.01.2016;3;24.93
07.01.2016;4;22.39
07.01.2016;5;22.32
07.01.2016;6;24.20
07.01.2016;7;31.00
07.01.2016;8;42.47
07.01.2016;9;42.97
07.01.2016;10;41.93
07.01.2016;11;41.62
07.01.2016;12;41.50
07.01.2016;13;40.66
07.01.2016;14;40.33
07.01.2016;15;36.51
07.01.2016;16;33.49
07.01.2016;17;34.19
07.01.2016;18;40.66
07.01.2016;19;40.80
07.01.2016;20;37.19
07.01.2016;21;31.94
07.01.2016;22;27.01
07.01.2016;23;27.52
07.01.2016;24;23.40
08.01.2016;1;12.12
08.01.2016;2;17.23
08.01.2016;3;13.90
08.01.2016;4;12.11
08.01.2016;5;12.99
08.01.2016;6;16.98
08.01.2016;7;22.02
08.01.2016;8;28.40
08.01.2016;9;29.31
08.01.2016;10;26.60
08.01.2016;11;25.55
08.01.2016;12;25.76
08.01.2016;13;25.13
08.01.2016;14;25.58
08.01.2016;15;27.60
08.01.2016;16;32.08
08.01.2016;17;37.16
08.01.2016;18;45.00
08.01.2016;19;46.97
08.01.2016;20;40.09
08.01.2016;21;34.61
08.01.2016;22;31.52
08.01.2016;23;32.50
08.01.2016;24;26.01
09.01.2016;1;26.10
09.01.2016;2;25.10
09.01.2016;3;24.30
09.01.2016;4;23.23
09.01.2016;5;21.96
09.01.2016;6;22.45
09.01.2016;7;23.07
09.01.2016;8;25.00
09.01.2016;9;32.11
09.01.2016;10;37.12
09.01.2016;11;36.13
09.01.2016;12;35.76
09.01.2016;13;34.06
09.01.2016;14;31.54
09.01.2016;15;27.92
09.01.2016;16;27.00
09.01.2016;17;30.50
09.01.2016;18;36.99
09.01.2016;19;36.80
09.01.2016;20;35.00
09.01.2016;21;29.00
09.01.2016;22;25.01
09.01.2016;23;25.10
09.01.2016;24;22.28
10.01.2016;1;15.58
10.01.2016;2;19.05
10.01.2016;3;16.87
10.01.2016;4;12.75
10.01.2016;5;10.81
10.01.2016;6;10.85
10.01.2016;7;9.85
10.01.2016;8;11.92
10.01.2016;9;15.44
10.01.2016;10;18.99
10.01.2016;11;19.66
10.01.2016;12;21.59
10.01.2016;13;21.83
10.01.2016;14;20.82
10.01.2016;15;20.06
10.01.2016;16;21.45
10.01.2016;17;23.92
10.01.2016;18;27.93
10.01.2016;19;35.00
10.01.2016;20;33.00
10.01.2016;21;30.03
10.01.2016;22;26.06
10.01.2016;23;26.93
10.01.2016;24;23.12
11.01.2016;1;21.95
11.01.2016;2;20.04
11.01.2016;3;19.78
11.01.2016;4;19.36
11.01.2016;5;19.56
11.01.2016;6;21.67
11.01.2016;7;28.50
11.01.2016;8;41.61
11.01.2016;9;45.93
11.01.2016;10;44.00
11.01.2016;11;41.94
11.01.2016;12;41.96
11.01.2016;13;42.33
11.01.2016;14;42.10
11.01.2016;15;39.88
11.01.2016;16;37.50
11.01.2016;17;37.95
11.01.2016;18;44.69
11.01.2016;19;42.88
11.01.2016;20;40.00
11.01.2016;21;33.09
11.01.2016;22;27.93
11.01.2016;23;28.00
11.01.2016;24;24.14
12.01.2016;1;21.51
12.01.2016;2;19.81
12.01.2016;3;19.10
12.01.2016;4;15.74
12.01.2016;5;15.54
12.01.2016;6;20.19
12.01.2016;7;24.38
12.01.2016;8;35.92
12.01.2016;9;40.50
12.01.2016;10;41.00
12.01.2016;11;38.66
12.01.2016;12;36.46
12.01.2016;13;35.00
12.01.2016;14;33.30
12.01.2016;15;32.21
12.01.2016;16;33.00
12.01.2016;17;36.08
12.01.2016;18;41.94
12.01.2016;19;40.33
12.01.2016;20;29.69
12.01.2016;21;26.05
12.01.2016;22;24.76
12.01.2016;23;24.03
12.01.2016;24;21.51
13.01.2016;1;21.00
13.01.2016;2;19.66
13.01.2016;3;18.13
13.01.2016;4;15.30
13.01.2016;5;18.05
13.01.2016;6;20.83
13.01.2016;7;24.10
13.01.2016;8;27.87
13.01.2016;9;29.98
13.01.2016;10;30.73
13.01.2016;11;31.45
13.01.2016;12;33.56
13.01.2016;13;33.99
13.01.2016;14;34.09
13.01.2016;15;34.02
13.01.2016;16;37.44
13.01.2016;17;39.58
13.01.2016;18;43.00
13.01.2016;19;42.22
13.01.2016;20;38.86
13.01.2016;21;29.62
13.01.2016;22;26.97
13.01.2016;23;25.88
13.01.2016;24;23.52
14.01.2016;1;24.29
14.01.2016;2;23.06
14.01.2016;3;22.22
14.01.2016;4;22.03
14.01.2016;5;22.53
14.01.2016;6;23.90
14.01.2016;7;29.99
14.01.2016;8;44.07
14.01.2016;9;44.99
14.01.2016;10;41.39
14.01.2016;11;34.95
14.01.2016;12;33.18
14.01.2016;13;31.17
14.01.2016;14;33.52
14.01.2016;15;39.97
14.01.2016;16;42.99
14.01.2016;17;42.34
14.01.2016;18;45.50
14.01.2016;19;41.06
14.01.2016;20;40.02
14.01.2016;21;38.34
14.01.2016;22;30.86
14.01.2016;23;28.16
14.01.2016;24;25.73
15.01.2016;1;24.58
15.01.2016;2;25.03
15.01.2016;3;24.36
15.01.2016;4;23.50
15.01.2016;5;22.94
15.01.2016;6;23.17
15.01.2016;7;26.35
15.01.2016;8;40.90
15.01.2016;9;45.21
15.01.2016;10;45.46
15.01.2016;11;45.99
15.01.2016;12;46.95
15.01.2016;13;44.00
15.01.2016;14;42.05
15.01.2016;15;39.99
15.01.2016;16;37.65
15.01.2016;17;38.00
15.01.2016;18;45.26
15.01.2016;19;48.04
15.01.2016;20;44.36
15.01.2016;21;34.38
15.01.2016;22;29.34
15.01.2016;23;27.17
15.01.2016;24;25.02
16.01.2016;1;27.13
16.01.2016;2;26.37
16.01.2016;3;25.58
16.01.2016;4;24.73
16.01.2016;5;24.08
16.01.2016;6;25.32
16.01.2016;7;24.77
16.01.2016;8;25.03
16.01.2016;9;27.55
16.01.2016;10;32.40
16.01.2016;11;34.21
16.01.2016;12;33.23
16.01.2016;13;29.16
16.01.2016;14;26.31
16.01.2016;15;25.47
16.01.2016;16;25.60
16.01.2016;17;30.15
16.01.2016;18;39.77
16.01.2016;19;40.03
16.01.2016;20;30.99
16.01.2016;21;26.19
16.01.2016;22;25.90
16.01.2016;23;25.53
16.01.2016;24;24.12
17.01.2016;1;20.86
17.01.2016;2;20.25
17.01.2016;3;20.76
17.01.2016;4;20.97
17.01.2016;5;20.89
17.01.2016;6;20.94
17.01.2016;7;19.64
17.01.2016;8;22.35
17.01.2016;9;23.52
17.01.2016;10;26.54
17.01.2016;11;30.11
17.01.2016;12;36.29
17.01.2016;13;32.44
17.01.2016;14;26.93
17.01.2016;15;26.19
17.01.2016;16;27.07
17.01.2016;17;31.94
17.01.2016;18;39.49
17.01.2016;19;42.80
17.01.2016;20;39.23
17.01.2016;21;33.30
17.01.2016;22;27.04
17.01.2016;23;27.05
17.01.2016;24;24.99
18.01.2016;1;23.96
18.01.2016;2;23.47
18.01.2016;3;23.56
18.01.2016;4;23.48
18.01.2016;5;23.51
18.01.2016;6;24.25
18.01.2016;7;27.61
18.01.2016;8;46.01
18.01.2016;9;49.98
18.01.2016;10;50.54
18.01.2016;11;49.91
18.01.2016;12;48.44
18.01.2016;13;46.93
18.01.2016;14;46.32
18.01.2016;15;45.76
18.01.2016;16;49.53
18.01.2016;17;49.66
18.01.2016;18;62.55
18.01.2016;19;56.07
18.01.2016;20;47.18
18.01.2016;21;35.09
18.01.2016;22;26.95
18.01.2016;23;26.94
18.01.2016;24;25.09
19.01.2016;1;31.95
19.01.2016;2;32.16
19.01.2016;3;28.97
19.01.2016;4;30.01
19.01.2016;5;30.45
19.01.2016;6;27.01
19.01.2016;7;31.90
19.01.2016;8;54.10
19.01.2016;9;64.90
19.01.2016;10;65.35
19.01.2016;11;61.31
19.01.2016;12;61.43
19.01.2016;13;58.98
19.01.2016;14;58.53
19.01.2016;15;55.81
19.01.2016;16;55.50
19.01.2016;17;56.21
19.01.2016;18;70.07
19.01.2016;19;74.97
19.01.2016;20;57.56
19.01.2016;21;48.24
19.01.2016;22;37.98
19.01.2016;23;33.67
19.01.2016;24;29.79
20.01.2016;1;26.05
20.01.2016;2;26.17
20.01.2016;3;26.42
20.01.2016;4;25.36
20.01.2016;5;25.76
20.01.2016;6;26.54
20.01.2016;7;32.70
20.01.2016;8;55.08
20.01.2016;9;61.08
20.01.2016;10;58.43
20.01.2016;11;58.97
20.01.2016;12;56.14
20.01.2016;13;58.60
20.01.2016;14;57.58
20.01.2016;15;54.95
20.01.2016;16;52.42
20.01.2016;17;72.01
20.01.2016;18;92.75
20.01.2016;19;79.09
20.01.2016;20;70.03
20.01.2016;21;50.10
20.01.2016;22;40.06
20.01.2016;23;33.52
20.01.2016;24;29.63
21.01.2016;1;29.65
21.01.2016;2;27.82
21.01.2016;3;26.65
21.01.2016;4;26.96
21.01.2016;5;27.47
21.01.2016;6;29.09
21.01.2016;7;40.78
21.01.2016;8;70.01
21.01.2016;9;85.05
21.01.2016;10;83.54
21.01.2016;11;74.94
21.01.2016;12;70.12
21.01.2016;13;59.91
21.01.2016;14;57.69
21.01.2016;15;57.99
21.01.2016;16;61.05
21.01.2016;17;57.43
21.01.2016;18;77.13
21.01.2016;19;86.01
21.01.2016;20;60.13
21.01.2016;21;50.09
21.01.2016;22;35.47
21.01.2016;23;30.36
21.01.2016;24;26.97
22.01.2016;1;28.05
22.01.2016;2;27.92
22.01.2016;3;26.78
22.01.2016;4;26.57
22.01.2016;5;27.02
22.01.2016;6;28.07
22.01.2016;7;30.82
22.01.2016;8;48.46
22.01.2016;9;52.50
22.01.2016;10;48.66
22.01.2016;11;45.11
22.01.2016;12;44.96
22.01.2016;13;42.06
22.01.2016;14;37.02
22.01.2016;15;32.27
22.01.2016;16;32.65
22.01.2016;17;32.84
22.01.2016;18;34.83
22.01.2016;19;28.30
22.01.2016;20;26.88
22.01.2016;21;25.46
22.01.2016;22;24.88
22.01.2016;23;24.28
22.01.2016;24;22.63
23.01.2016;1;24.44
23.01.2016;2;24.02
23.01.2016;3;23.03
23.01.2016;4;22.99
23.01.2016;5;22.68
23.01.2016;6;22.44
23.01.2016;7;21.46
23.01.2016;8;23.35
23.01.2016;9;24.68
23.01.2016;10;28.90
23.01.2016;11;31.32
23.01.2016;12;34.75
23.01.2016;13;34.39
23.01.2016;14;30.45
23.01.2016;15;28.04
23.01.2016;16;29.10
23.01.2016;17;29.70
23.01.2016;18;36.97
23.01.2016;19;42.60
23.01.2016;20;35.83
23.01.2016;21;28.84
23.01.2016;22;25.40
23.01.2016;23;26.27
23.01.2016;24;27.06
24.01.2016;1;24.08
24.01.2016;2;23.99
24.01.2016;3;24.83
24.01.2016;4;23.24
24.01.2016;5;22.54
24.01.2016;6;23.41
24.01.2016;7;21.41
24.01.2016;8;21.40
24.01.2016;9;22.12
24.01.2016;10;24.63
24.01.2016;11;27.05
24.01.2016;12;32.66
24.01.2016;13;28.94
24.01.2016;14;26.04
24.01.2016;15;24.84
24.01.2016;16;23.99
24.01.2016;17;25.04
24.01.2016;18;32.88
24.01.2016;19;36.09
24.01.2016;20;35.87
24.01.2016;21;31.70
24.01.2016;22;26.00
24.01.2016;23;27.09
24.01.2016;24;22.44
25.01.2016;1;20.07
25.01.2016;2;19.65
25.01.2016;3;19.68
25.01.2016;4;19.98
25.01.2016;5;20.33
25.01.2016;6;21.32
25.01.2016;7;25.01
25.01.2016;8;34.94
25.01.2016;9;35.00
25.01.2016;10;36.04
25.01.2016;11;36.62
25.01.2016;12;35.60
25.01.2016;13;34.75
25.01.2016;14;32.26
25.01.2016;15;30.61
25.01.2016;16;29.73
25.01.2016;17;31.17
25.01.2016;18;34.96
25.01.2016;19;36.33
25.01.2016;20;31.96
25.01.2016;21;26.80
25.01.2016;22;25.32
25.01.2016;23;23.93
25.01.2016;24;18.11
26.01.2016;1;20.23
26.01.2016;2;18.02
26.01.2016;3;15.90
26.01.2016;4;15.91
26.01.2016;5;17.10
26.01.2016;6;21.80
26.01.2016;7;27.09
26.01.2016;8;34.13
26.01.2016;9;38.11
26.01.2016;10;32.31
26.01.2016;11;29.99
26.01.2016;12;29.55
26.01.2016;13;28.52
26.01.2016;14;29.33
26.01.2016;15;27.97
26.01.2016;16;30.09
26.01.2016;17;30.62
26.01.2016;18;32.87
26.01.2016;19;29.27
26.01.2016;20;24.94
26.01.2016;21;23.17
26.01.2016;22;21.66
26.01.2016;23;20.24
26.01.2016;24;13.43
27.01.2016;1;10.97
27.01.2016;2;3.18
27.01.2016;3;0.05
27.01.2016;4;0.13
27.01.2016;5;8.82
27.01.2016;6;13.30
27.01.2016;7;17.33
27.01.2016;8;22.97
27.01.2016;9;23.93
27.01.2016;10;28.95
27.01.2016;11;29.94
27.01.2016;12;25.55
27.01.2016;13;24.12
27.01.2016;14;22.95
27.01.2016;15;20.95
27.01.2016;16;23.91
27.01.2016;17;23.97
27.01.2016;18;28.93
27.01.2016;19;30.98
27.01.2016;20;29.07
27.01.2016;21;21.50
27.01.2016;22;19.06
27.01.2016;23;16.34
27.01.2016;24;13.96
28.01.2016;1;14.50
28.01.2016;2;12.83
28.01.2016;3;12.88
28.01.2016;4;12.14
28.01.2016;5;13.20
28.01.2016;6;17.39
28.01.2016;7;23.41
28.01.2016;8;28.49
28.01.2016;9;30.96
28.01.2016;10;29.97
28.01.2016;11;29.07
28.01.2016;12;25.21
28.01.2016;13;24.01
28.01.2016;14;25.56
28.01.2016;15;26.73
28.01.2016;16;31.02
28.01.2016;17;33.58
28.01.2016;18;39.05
28.01.2016;19;46.02
28.01.2016;20;36.56
28.01.2016;21;32.12
28.01.2016;22;27.45
28.01.2016;23;26.31
28.01.2016;24;20.79
29.01.2016;1;21.10
29.01.2016;2;19.53
29.01.2016;3;19.06
29.01.2016;4;18.08
29.01.2016;5;15.96
29.01.2016;6;18.01
29.01.2016;7;26.00
29.01.2016;8;34.89
29.01.2016;9;36.06
29.01.2016;10;34.94
29.01.2016;11;29.91
29.01.2016;12;25.43
29.01.2016;13;21.83
29.01.2016;14;20.03
29.01.2016;15;19.10
29.01.2016;16;19.39
29.01.2016;17;22.54
29.01.2016;18;27.43
29.01.2016;19;25.99
29.01.2016;20;25.18
29.01.2016;21;21.11
29.01.2016;22;17.08
29.01.2016;23;14.60
29.01.2016;24;10.29
30.01.2016;1;14.08
30.01.2016;2;8.40
30.01.2016;3;0.79
30.01.2016;4;0.00
30.01.2016;5;-0.02
30.01.2016;6;-0.04
30.01.2016;7;-2.97
30.01.2016;8;8.51
30.01.2016;9;12.42
30.01.2016;10;13.78
30.01.2016;11;14.22
30.01.2016;12;14.69
30.01.2016;13;14.27
30.01.2016;14;14.60
30.01.2016;15;14.28
30.01.2016;16;15.37
30.01.2016;17;16.03
30.01.2016;18;18.67
30.01.2016;19;27.78
30.01.2016;20;22.16
30.01.2016;21;18.53
30.01.2016;22;16.21
30.01.2016;23;15.49
30.01.2016;24;12.00
31.01.2016;1;8.43
31.01.2016;2;3.04
31.01.2016;3;5.09
31.01.2016;4;0.85
31.01.2016;5;-0.27
31.01.2016;6;0.03
31.01.2016;7;0.08
31.01.2016;8;6.04
31.01.2016;9;8.33
31.01.2016;10;10.59
31.01.2016;11;11.91
31.01.2016;12;14.68
31.01.2016;13;16.18
31.01.2016;14;12.50
31.01.2016;15;13.96
31.01.2016;16;13.89
31.01.2016;17;16.08
31.01.2016;18;21.44
31.01.2016;19;26.28
31.01.2016;20;25.48
31.01.2016;21;21.34
31.01.2016;22;18.04
31.01.2016;23;18.79
31.01.2016;24;16.45
01.02.2016;1;16.31
01.02.2016;2;14.42
01.02.2016;3;15.07
01.02.2016;4;13.27
01.02.2016;5;13.87
01.02.2016;6;14.26
01.02.2016;7;23.93
01.02.2016;8;35.90
01.02.2016;9;37.99
01.02.2016;10;36.05
01.02.2016;11;33.34
01.02.2016;12;29.24
01.02.2016;13;24.99
01.02.2016;14;21.96
01.02.2016;15;18.34
01.02.2016;16;17.97
01.02.2016;17;18.24
01.02.2016;18;23.37
01.02.2016;19;23.95
01.02.2016;20;22.65
01.02.2016;21;17.75
01.02.2016;22;14.63
01.02.2016;23;14.16
01.02.2016;24;8.44
02.02.2016;1;4.06
02.02.2016;2;0.30
02.02.2016;3;-2.66
02.02.2016;4;-1.92
02.02.2016;5;0.09
02.02.2016;6;9.52
02.02.2016;7;15.68
02.02.2016;8;22.92
02.02.2016;9;22.99
02.02.2016;10;22.15
02.02.2016;11;22.16
02.02.2016;12;22.53
02.02.2016;13;22.08
02.02.2016;14;22.09
02.02.2016;15;22.19
02.02.2016;16;23.35
02.02.2016;17;23.31
02.02.2016;18;28.42
02.02.2016;19;29.99
02.02.2016;20;24.61
02.02.2016;21;22.51
02.02.2016;22;17.59
02.02.2016;23;14.18
02.02.2016;24;9.53
03.02.2016;1;13.75
03.02.2016;2;11.58
03.02.2016;3;8.09
03.02.2016;4;6.93
03.02.2016;5;9.04
03.02.2016;6;13.74
03.02.2016;7;21.41
03.02.2016;8;33.25
03.02.2016;9;35.00
03.02.2016;10;33.96
03.02.2016;11;25.44
03.02.2016;12;22.93
03.02.2016;13;21.46
03.02.2016;14;20.95
03.02.2016;15;22.93
03.02.2016;16;23.02
03.02.2016;17;26.40
03.02.2016;18;32.62
03.02.2016;19;36.69
03.02.2016;20;36.19
03.02.2016;21;30.13
03.02.2016;22;23.75
03.02.2016;23;22.41
03.02.2016;24;17.13
04.02.2016;1;18.04
04.02.2016;2;16.38
04.02.2016;3;15.99
04.02.2016;4;15.29
04.02.2016;5;13.93
04.02.2016;6;17.01
04.02.2016;7;22.43
04.02.2016;8;31.96
04.02.2016;9;30.91
04.02.2016;10;27.93
04.02.2016;11;29.19
04.02.2016;12;30.22
04.02.2016;13;27.97
04.02.2016;14;26.87
04.02.2016;15;25.85
04.02.2016;16;27.94
04.02.2016;17;27.81
04.02.2016;18;35.00
04.02.2016;19;42.18
04.02.2016;20;39.01
04.02.2016;21;32.04
04.02.2016;22;26.96
04.02.2016;23;27.83
04.02.2016;24;23.98
05.02.2016;1;24.61
05.02.2016;2;23.00
05.02.2016;3;22.22
05.02.2016;4;20.10
05.02.2016;5;21.18
05.02.2016;6;21.18
05.02.2016;7;25.97
05.02.2016;8;33.92
05.02.2016;9;37.48
05.02.2016;10;35.25
05.02.2016;11;36.50
05.02.2016;12;35.94
05.02.2016;13;34.36
05.02.2016;14;31.95
05.02.2016;15;27.74
05.02.2016;16;25.33
05.02.2016;17;24.78
05.02.2016;18;29.96
05.02.2016;19;33.09
05.02.2016;20;28.01
05.02.2016;21;25.70
05.02.2016;22;23.12
05.02.2016;23;24.55
05.02.2016;24;22.71
06.02.2016;1;18.18
06.02.2016;2;15.55
06.02.2016;3;16.01
06.02.2016;4;14.33
06.02.2016;5;13.78
06.02.2016;6;13.98
06.02.2016;7;15.05
06.02.2016;8;16.08
06.02.2016;9;18.02
06.02.2016;10;19.34
06.02.2016;11;17.10
06.02.2016;12;16.50
06.02.2016;13;16.09
06.02.2016;14;15.11
06.02.2016;15;13.99
06.02.2016;16;15.29
06.02.2016;17;17.01
06.02.2016;18;19.97
06.02.2016;19;23.15
06.02.2016;20;21.02
06.02.2016;21;16.07
06.02.2016;22;12.71
06.02.2016;23;15.04
06.02.2016;24;11.74
07.02.2016;1;5.01
07.02.2016;2;5.98
07.02.2016;3;5.62
07.02.2016;4;3.05
07.02.2016;5;0.93
07.02.2016;6;0.08
07.02.2016;7;-0.92
07.02.2016;8;1.13
07.02.2016;9;5.74
07.02.2016;10;8.01
07.02.2016;11;12.92
07.02.2016;12;13.79
07.02.2016;13;13.84
07.02.2016;14;12.19
07.02.2016;15;11.76
07.02.2016;16;10.01
07.02.2016;17;13.32
07.02.2016;18;16.64
07.02.2016;19;22.17
07.02.2016;20;17.28
07.02.2016;21;17.88
07.02.2016;22;13.79
07.02.2016;23;15.04
07.02.2016;24;9.29
08.02.2016;1;10.02
08.02.2016;2;7.99
08.02.2016;3;5.24
08.02.2016;4;1.16
08.02.2016;5;1.40
08.02.2016;6;7.32
08.02.2016;7;12.32
08.02.2016;8;16.17
08.02.2016;9;16.55
08.02.2016;10;16.41
08.02.2016;11;16.56
08.02.2016;12;16.61
08.02.2016;13;16.35
08.02.2016;14;16.10
08.02.2016;15;16.15
08.02.2016;16;16.35
08.02.2016;17;15.94
08.02.2016;18;20.88
08.02.2016;19;27.26
08.02.2016;20;21.02
08.02.2016;21;15.24
08.02.2016;22;12.52
08.02.2016;23;12.11
08.02.2016;24;9.72
09.02.2016;1;-19.94
09.02.2016;2;-12.34
09.02.2016;3;-19.95
09.02.2016;4;-19.30
09.02.2016;5;-5.52
09.02.2016;6;2.79
09.02.2016;7;16.98
09.02.2016;8;19.75
09.02.2016;9;23.43
09.02.2016;10;20.99
09.02.2016;11;23.90
09.02.2016;12;24.93
09.02.2016;13;27.03
09.02.2016;14;28.69
09.02.2016;15;27.44
09.02.2016;16;26.97
09.02.2016;17;27.24
09.02.2016;18;31.01
09.02.2016;19;39.98
09.02.2016;20;34.06
09.02.2016;21;28.77
09.02.2016;22;23.97
09.02.2016;23;20.78
09.02.2016;24;15.99
10.02.2016;1;13.08
10.02.2016;2;13.68
10.02.2016;3;13.06
10.02.2016;4;13.41
10.02.2016;5;14.30
10.02.2016;6;16.20
10.02.2016;7;22.80
10.02.2016;8;30.59
10.02.2016;9;32.05
10.02.2016;10;32.42
10.02.2016;11;30.94
10.02.2016;12;29.98
10.02.2016;13;25.97
10.02.2016;14;27.74
10.02.2016;15;27.44
10.02.2016;16;27.77
10.02.2016;17;28.68
10.02.2016;18;32.10
10.02.2016;19;36.59
10.02.2016;20;29.44
10.02.2016;21;23.18
10.02.2016;22;21.66
10.02.2016;23;21.94
10.02.2016;24;18.88
11.02.2016;1;17.72
11.02.2016;2;17.46
11.02.2016;3;16.91
11.02.2016;4;16.97
11.02.2016;5;17.66
11.02.2016;6;18.55
11.02.2016;7;20.84
11.02.2016;8;30.82
11.02.2016;9;25.34
11.02.2016;10;22.84
11.02.2016;11;21.12
11.02.2016;12;24.74
11.02.2016;13;23.72
11.02.2016;14;23.01
11.02.2016;15;21.03
11.02.2016;16;30.00
11.02.2016;17;31.58
11.02.2016;18;36.00
11.02.2016;19;41.02
11.02.2016;20;41.34
11.02.2016;21;32.98
11.02.2016;22;29.96
11.02.2016;23;29.46
11.02.2016;24;26.10
12.02.2016;1;22.81
12.02.2016;2;21.59
12.02.2016;3;21.30
12.02.2016;4;19.86
12.02.2016;5;20.69
12.02.2016;6;21.64
12.02.2016;7;27.18
12.02.2016;8;36.43
12.02.2016;9;37.30
12.02.2016;10;34.97
12.02.2016;11;34.70
12.02.2016;12;33.48
12.02.2016;13;30.00
12.02.2016;14;26.93
12.02.2016;15;25.62
12.02.2016;16;25.00
12.02.2016;17;27.18
12.02.2016;18;34.56
12.02.2016;19;40.36
12.02.2016;20;35.56
12.02.2016;21;29.96
12.02.2016;22;26.45
12.02.2016;23;27.18
12.02.2016;24;25.45
13.02.2016;1;22.23
13.02.2016;2;21.10
13.02.2016;3;20.21
13.02.2016;4;19.94
13.02.2016;5;19.90
13.02.2016;6;19.98
13.02.2016;7;19.90
13.02.2016;8;21.48
13.02.2016;9;28.38
13.02.2016;10;30.36
13.02.2016;11;30.09
13.02.2016;12;29.84
13.02.2016;13;26.75
13.02.2016;14;23.93
13.02.2016;15;21.37
13.02.2016;16;21.15
13.02.2016;17;20.96
13.02.2016;18;24.69
13.02.2016;19;29.65
13.02.2016;20;24.61
13.02.2016;21;19.91
13.02.2016;22;18.70
13.02.2016;23;18.47
13.02.2016;24;16.88
14.02.2016;1;13.06
14.02.2016;2;10.28
14.02.2016;3;8.48
14.02.2016;4;5.09
14.02.2016;5;4.21
14.02.2016;6;4.75
14.02.2016;7;5.30
14.02.2016;8;8.76
14.02.2016;9;11.81
14.02.2016;10;15.03
14.02.2016;11;17.46
14.02.2016;12;18.01
14.02.2016;13;17.69
14.02.2016;14;17.34
14.02.2016;15;16.27
14.02.2016;16;15.13
14.02.2016;17;16.96
14.02.2016;18;21.21
14.02.2016;19;29.94
